county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
Broward,0001 A001,Registered Voters,,,,4362,,,,
Broward,0001 A001,Ballots Cast,,,,3633,593,1666,1374,0
Broward,0001 A001,Ballots Cast Blank,,,,171,35,65,71,0
Broward,0001 A001,President,,REP,Donald J. Trump,2129,465,681,983,0
Broward,0001 A001,President,,DEM,Joseph R. Biden,1454,119,950,385,0
Broward,0001 A001,President,,LPF,Jo Jorgensen,16,5,10,1,0
Broward,0001 A001,President,,REF,"Roque ""Rocky"" De La Fuente",1,0,1,0,0
Broward,0001 A001,President,,PSL,Gloria La Riva,2,0,2,0,0
Broward,0001 A001,President,,GRE,Howie Hawkins,6,0,5,1,0
Broward,0001 A001,President,,CPF,Don Blankenship,0,0,0,0,0
Broward,0001 A001,President,,,Write-ins,9,0,8,1,0
Broward,0001 A001,U.S. House,22,REP,"James ""Jim"" Pruden",2096,452,685,959,0
Broward,0001 A001,U.S. House,22,DEM,Ted Deutch,1431,120,924,387,0
Broward,0001 A001,State Attorney - 17th Judicial Circuit,,REP,Gregg Rossman,2155,457,733,965,0
Broward,0001 A001,State Attorney - 17th Judicial Circuit,,DEM,Harold Fernandez Pryor,1315,104,848,363,0
Broward,0001 A001,Public Defender - 17th Judicial Circuit,,DEM,Gordon Weekes,1906,220,1088,598,0
Broward,0001 A001,Public Defender - 17th Judicial Circuit,,,Write-ins,191,46,54,91,0
Broward,0001 A001,State House,93,REP,Chip LaMarca,2252,473,793,986,0
Broward,0001 A001,State House,93,DEM,Linda Thompson Gonzalez,1254,98,801,355,0
Broward,0001 A001,Sheriff,,REP,H. Wayne Clark,1931,412,637,882,0
Broward,0001 A001,Sheriff,,DEM,Gregory Tony,1352,120,843,389,0
Broward,0001 A001,Sheriff,,NPA,"Charles ""Chuck"" Whatley",141,29,76,36,0
Broward,0001 A001,Sheriff,,,Write-ins,16,2,8,6,0
Broward,0001 A001,Supervisor of Elections,,REP,Catherine McBreen,2113,451,712,950,0
Broward,0001 A001,Supervisor of Elections,,DEM,Joe Scott,1353,107,878,368,0
Broward,0001 A001,Supervisor of Elections,,,Write-ins,6,1,2,3,0
Broward,0001 A001,Justice of the Supreme Court - Carlos G. Muniz,,,Yes,2005,387,808,810,0
Broward,0001 A001,Justice of the Supreme Court - Carlos G. Muniz,,,No.,1048,105,628,315,0
Broward,0001 A001,Fourth District Court of Appeal - Alan O. Forst,,,Yes,2042,384,870,788,0
Broward,0001 A001,Fourth District Court of Appeal - Alan O. Forst,,,No.,929,95,543,291,0
Broward,0001 A001,Fourth District Court of Appeal - Mark W. Klingensmith,,,Yes,2006,377,844,785,0
Broward,0001 A001,Fourth District Court of Appeal - Mark W. Klingensmith,,,No.,955,98,561,296,0
Broward,0001 A001,Fourth District Court of Appeal - Martha C. Warner,,,Yes,2359,389,1136,834,0
Broward,0001 A001,Fourth District Court of Appeal - Martha C. Warner,,,No.,602,86,276,240,0
Broward,0001 A001,Circuit Judge - 17th Judicial Circuit - Group 16,,,Dennis Daniel Bailey.,2005,355,860,790,0
Broward,0001 A001,Circuit Judge - 17th Judicial Circuit - Group 16,,,George Odom Jr.,822,91,491,240,0
Broward,0001 A001,School Board At Large - Seat 9,,,Debra Hixon.,2288,360,1089,839,0
Broward,0001 A001,School Board At Large - Seat 9,,,Jeff Holness,616,101,302,213,0
Broward,0001 A001,Broward Soil and Water Conservation District - Seat 5,,,Fred Segal,1980,346,860,774,0
Broward,0001 A001,Broward Soil and Water Conservation District - Seat 5,,,Beau Simon,815,110,470,235,0
Broward,0001 A001,No. 1 Constitutional Amendment,,,Yes,2713,491,1140,1082,0
Broward,0001 A001,No. 1 Constitutional Amendment,,,No.,699,61,435,203,0
Broward,0001 A001,No. 2 Constitutional Amendment,,,Yes,1961,242,1063,656,0
Broward,0001 A001,No. 2 Constitutional Amendment,,,No.,1365,300,467,598,0
Broward,0001 A001,No. 3 Constitutional Amendment,,,Yes,1704,263,843,598,0
Broward,0001 A001,No. 3 Constitutional Amendment,,,No.,1580,278,663,639,0
Broward,0001 A001,No. 4 Constitutional Amendment,,,Yes,1432,313,534,585,0
Broward,0001 A001,No. 4 Constitutional Amendment,,,No.,1786,213,951,622,0
Broward,0001 A001,No. 5 Constitutional Amendment,,,Yes,2474,405,1124,945,0
Broward,0001 A001,No. 5 Constitutional Amendment,,,No.,759,116,373,270,0
Broward,0001 A001,No. 6 Constitutional Amendment,,,Yes,3025,496,1411,1118,0
Broward,0001 A001,No. 6 Constitutional Amendment,,,No.,325,45,134,146,0
Broward,0001 A001,Broward County Ballot Question,,,Yes,2078,318,1033,727,0
Broward,0001 A001,Broward County Ballot Question,,,No.,1043,178,430,435,0
Broward,0001 A001,Broward County Charter Question,,,Yes,1658,252,818,588,0
Broward,0001 A001,Broward County Charter Question,,,No.,1537,264,665,608,0
Broward,0002 A002,Registered Voters,,,,1445,,,,
Broward,0002 A002,Ballots Cast,,,,1070,232,459,379,0
Broward,0002 A002,Ballots Cast Blank,,,,78,19,25,34,0
Broward,0002 A002,President,,REP,Donald J. Trump,478,133,131,214,0
Broward,0002 A002,President,,DEM,Joseph R. Biden,577,95,321,161,0
Broward,0002 A002,President,,LPF,Jo Jorgensen,4,0,1,3,0
Broward,0002 A002,President,,REF,"Roque ""Rocky"" De La Fuente",2,0,2,0,0
Broward,0002 A002,President,,PSL,Gloria La Riva,0,0,0,0,0
Broward,0002 A002,President,,GRE,Howie Hawkins,1,0,0,1,0
Broward,0002 A002,President,,CPF,Don Blankenship,0,0,0,0,0
