county,precinct,office,district,party,candidate,votes
Pinellas,101,U.S. Senate,"",DEM,Ricardo De La Fuente,17
Pinellas,102,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,103,U.S. Senate,"",DEM,Ricardo De La Fuente,1
Pinellas,104,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,105,U.S. Senate,"",DEM,Ricardo De La Fuente,15
Pinellas,106,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Pinellas,107,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,108,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,109,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,112,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,113,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,114,U.S. Senate,"",DEM,Ricardo De La Fuente,11
Pinellas,115,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,116,U.S. Senate,"",DEM,Ricardo De La Fuente,15
Pinellas,117,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,118,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,119,U.S. Senate,"",DEM,Ricardo De La Fuente,16
Pinellas,120,U.S. Senate,"",DEM,Ricardo De La Fuente,18
Pinellas,121,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,122,U.S. Senate,"",DEM,Ricardo De La Fuente,0
Pinellas,123,U.S. Senate,"",DEM,Ricardo De La Fuente,26
Pinellas,125,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,126,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,127,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,128,U.S. Senate,"",DEM,Ricardo De La Fuente,16
Pinellas,129,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,130,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,131,U.S. Senate,"",DEM,Ricardo De La Fuente,15
Pinellas,132,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,133,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,134,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,135,U.S. Senate,"",DEM,Ricardo De La Fuente,14
Pinellas,136,U.S. Senate,"",DEM,Ricardo De La Fuente,5
Pinellas,137,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,138,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,139,U.S. Senate,"",DEM,Ricardo De La Fuente,11
Pinellas,140,U.S. Senate,"",DEM,Ricardo De La Fuente,24
Pinellas,141,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,142,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,143,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,144,U.S. Senate,"",DEM,Ricardo De La Fuente,17
Pinellas,145,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,146,U.S. Senate,"",DEM,Ricardo De La Fuente,2
Pinellas,147,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,148,U.S. Senate,"",DEM,Ricardo De La Fuente,16
Pinellas,149,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,150,U.S. Senate,"",DEM,Ricardo De La Fuente,20
Pinellas,151,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,152,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,153,U.S. Senate,"",DEM,Ricardo De La Fuente,27
Pinellas,154,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Pinellas,155,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,156,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,157,U.S. Senate,"",DEM,Ricardo De La Fuente,5
Pinellas,158,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,159,U.S. Senate,"",DEM,Ricardo De La Fuente,24
Pinellas,160,U.S. Senate,"",DEM,Ricardo De La Fuente,15
Pinellas,161,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,162,U.S. Senate,"",DEM,Ricardo De La Fuente,25
Pinellas,163,U.S. Senate,"",DEM,Ricardo De La Fuente,0
Pinellas,165,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Pinellas,166,U.S. Senate,"",DEM,Ricardo De La Fuente,16
Pinellas,200,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,201,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Pinellas,202,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,203,U.S. Senate,"",DEM,Ricardo De La Fuente,15
Pinellas,205,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,206,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,208,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,209,U.S. Senate,"",DEM,Ricardo De La Fuente,19
Pinellas,210,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,212,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,213,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Pinellas,214,U.S. Senate,"",DEM,Ricardo De La Fuente,13
Pinellas,215,U.S. Senate,"",DEM,Ricardo De La Fuente,1
Pinellas,216,U.S. Senate,"",DEM,Ricardo De La Fuente,11
Pinellas,218,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,219,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,220,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,221,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Pinellas,222,U.S. Senate,"",DEM,Ricardo De La Fuente,22
Pinellas,224,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,225,U.S. Senate,"",DEM,Ricardo De La Fuente,21
Pinellas,226,U.S. Senate,"",DEM,Ricardo De La Fuente,5
Pinellas,227,U.S. Senate,"",DEM,Ricardo De La Fuente,14
Pinellas,228,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,229,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,230,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,231,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,232,U.S. Senate,"",DEM,Ricardo De La Fuente,19
Pinellas,233,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,234,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,235,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,236,U.S. Senate,"",DEM,Ricardo De La Fuente,5
Pinellas,237,U.S. Senate,"",DEM,Ricardo De La Fuente,13
Pinellas,238,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,239,U.S. Senate,"",DEM,Ricardo De La Fuente,22
Pinellas,240,U.S. Senate,"",DEM,Ricardo De La Fuente,11
Pinellas,241,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,242,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,243,U.S. Senate,"",DEM,Ricardo De La Fuente,18
Pinellas,244,U.S. Senate,"",DEM,Ricardo De La Fuente,15
Pinellas,245,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,246,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,247,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,248,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,250,U.S. Senate,"",DEM,Ricardo De La Fuente,17
Pinellas,251,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,252,U.S. Senate,"",DEM,Ricardo De La Fuente,15
Pinellas,253,U.S. Senate,"",DEM,Ricardo De La Fuente,2
Pinellas,254,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,255,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,256,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,257,U.S. Senate,"",DEM,Ricardo De La Fuente,11
Pinellas,258,U.S. Senate,"",DEM,Ricardo De La Fuente,5
Pinellas,259,U.S. Senate,"",DEM,Ricardo De La Fuente,29
Pinellas,260,U.S. Senate,"",DEM,Ricardo De La Fuente,17
Pinellas,261,U.S. Senate,"",DEM,Ricardo De La Fuente,16
Pinellas,263,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,265,U.S. Senate,"",DEM,Ricardo De La Fuente,15
Pinellas,266,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,267,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Pinellas,268,U.S. Senate,"",DEM,Ricardo De La Fuente,5
Pinellas,269,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,274,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,275,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,301,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,302,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,303,U.S. Senate,"",DEM,Ricardo De La Fuente,11
Pinellas,304,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,305,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,306,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,307,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,308,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,309,U.S. Senate,"",DEM,Ricardo De La Fuente,26
Pinellas,310,U.S. Senate,"",DEM,Ricardo De La Fuente,17
Pinellas,311,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,312,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,313,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,314,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,315,U.S. Senate,"",DEM,Ricardo De La Fuente,2
Pinellas,316,U.S. Senate,"",DEM,Ricardo De La Fuente,0
Pinellas,317,U.S. Senate,"",DEM,Ricardo De La Fuente,13
Pinellas,318,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,319,U.S. Senate,"",DEM,Ricardo De La Fuente,0
Pinellas,320,U.S. Senate,"",DEM,Ricardo De La Fuente,13
Pinellas,321,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,322,U.S. Senate,"",DEM,Ricardo De La Fuente,29
Pinellas,323,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,324,U.S. Senate,"",DEM,Ricardo De La Fuente,18
Pinellas,325,U.S. Senate,"",DEM,Ricardo De La Fuente,14
Pinellas,326,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,327,U.S. Senate,"",DEM,Ricardo De La Fuente,19
Pinellas,328,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,329,U.S. Senate,"",DEM,Ricardo De La Fuente,8
Pinellas,330,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Pinellas,331,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,333,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,334,U.S. Senate,"",DEM,Ricardo De La Fuente,13
Pinellas,335,U.S. Senate,"",DEM,Ricardo De La Fuente,14
Pinellas,336,U.S. Senate,"",DEM,Ricardo De La Fuente,14
Pinellas,337,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,338,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,339,U.S. Senate,"",DEM,Ricardo De La Fuente,11
Pinellas,340,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,341,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,342,U.S. Senate,"",DEM,Ricardo De La Fuente,12
Pinellas,343,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,344,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,345,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,346,U.S. Senate,"",DEM,Ricardo De La Fuente,16
Pinellas,347,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,348,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Pinellas,349,U.S. Senate,"",DEM,Ricardo De La Fuente,7
Pinellas,350,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Pinellas,401,U.S. Senate,"",DEM,Ricardo De La Fuente,9
Pinellas,402,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Pinellas,403,U.S. Senate,"",DEM,Ricardo De La Fuente,2
Pinellas,404,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Pinellas,405,U.S. Senate,"",DEM,Ricardo De La Fuente,5
