county,precinct,office,district,party,candidate,votes
Wakulla,01 Wakulla Station,U.S. Senate,"",DEM,Ricardo De La Fuente,10
Wakulla,02 Crawfordville,U.S. Senate,"",DEM,Ricardo De La Fuente,29
Wakulla,03 Sopchoppy,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Wakulla,04 Smith Creek,U.S. Senate,"",DEM,Ricardo De La Fuente,1
Wakulla,05 St. Marks,U.S. Senate,"",DEM,Ricardo De La Fuente,0
Wakulla,06 Medart,U.S. Senate,"",DEM,Ricardo De La Fuente,4
Wakulla,07 Ivan,U.S. Senate,"",DEM,Ricardo De La Fuente,14
Wakulla,08 Shell Point,U.S. Senate,"",DEM,Ricardo De La Fuente,6
Wakulla,09 Panacea,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Wakulla,10 Ochlockonee Bay,U.S. Senate,"",DEM,Ricardo De La Fuente,1
Wakulla,11 Bethel Church,U.S. Senate,"",DEM,Ricardo De La Fuente,3
Wakulla,12 Shadeville,U.S. Senate,"",DEM,Ricardo De La Fuente,11
Wakulla,01 Wakulla Station,U.S. Senate,"",DEM,Val Demings,283
Wakulla,02 Crawfordville,U.S. Senate,"",DEM,Val Demings,485
Wakulla,03 Sopchoppy,U.S. Senate,"",DEM,Val Demings,145
Wakulla,04 Smith Creek,U.S. Senate,"",DEM,Val Demings,6
Wakulla,05 St. Marks,U.S. Senate,"",DEM,Val Demings,31
Wakulla,06 Medart,U.S. Senate,"",DEM,Val Demings,102
Wakulla,07 Ivan,U.S. Senate,"",DEM,Val Demings,294
Wakulla,08 Shell Point,U.S. Senate,"",DEM,Val Demings,110
Wakulla,09 Panacea,U.S. Senate,"",DEM,Val Demings,28
Wakulla,10 Ochlockonee Bay,U.S. Senate,"",DEM,Val Demings,46
Wakulla,11 Bethel Church,U.S. Senate,"",DEM,Val Demings,210
Wakulla,12 Shadeville,U.S. Senate,"",DEM,Val Demings,234
Wakulla,01 Wakulla Station,U.S. Senate,"",DEM,Brian Rush,44
Wakulla,02 Crawfordville,U.S. Senate,"",DEM,Brian Rush,80
Wakulla,03 Sopchoppy,U.S. Senate,"",DEM,Brian Rush,34
Wakulla,04 Smith Creek,U.S. Senate,"",DEM,Brian Rush,8
Wakulla,05 St. Marks,U.S. Senate,"",DEM,Brian Rush,2
Wakulla,06 Medart,U.S. Senate,"",DEM,Brian Rush,16
Wakulla,07 Ivan,U.S. Senate,"",DEM,Brian Rush,62
Wakulla,08 Shell Point,U.S. Senate,"",DEM,Brian Rush,13
