county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Charlotte,1 - Cleveland United Methodist,U.S. Senate,"",REP,Marco Rubio,247,90,103,54
Charlotte,10 - Port Charlotte Middle Sch,U.S. Senate,"",REP,Marco Rubio,303,153,87,63
Charlotte,11 - Myakka River Elementary S,U.S. Senate,"",REP,Marco Rubio,1060,453,370,237
Charlotte,12 - Deep Creek Elementary Sch,U.S. Senate,"",REP,Marco Rubio,1262,415,545,302
Charlotte,13 - East Elementary School,U.S. Senate,"",REP,Marco Rubio,977,377,351,249
Charlotte,14 - Home Owners of Alligator,U.S. Senate,"",REP,Marco Rubio,978,,,
Charlotte,14.1 - Homeowners of Alligator,U.S. Senate,"",REP,Marco Rubio,2,,,
Charlotte,15 - Meadow Park Elementary Sc,U.S. Senate,"",REP,Marco Rubio,918,,,
Charlotte,16 - Peace River Elementary Sc,U.S. Senate,"",REP,Marco Rubio,292,120,90,82
Charlotte,17 - Port Charlotte Middle Sch,U.S. Senate,"",REP,Marco Rubio,517,274,97,146
Charlotte,18 - Mac V. Horton West Count,U.S. Senate,"",REP,Marco Rubio,772,,,
Charlotte,19 - Charlotte Harbor Event an,U.S. Senate,"",REP,Marco Rubio,51,,,
Charlotte,19.1 - Charlotte Harbor Event,U.S. Senate,"",REP,Marco Rubio,303,142,74,87
Charlotte,19.2 - Charlotte Harbor Event,U.S. Senate,"",REP,Marco Rubio,24,,,
Charlotte,2 - East Elementary School,U.S. Senate,"",REP,Marco Rubio,290,142,61,87
Charlotte,20 - Port Charlotte Beach Park,U.S. Senate,"",REP,Marco Rubio,730,351,209,170
Charlotte,21 - Meadow Park Elementary Sc,U.S. Senate,"",REP,Marco Rubio,424,215,103,106
Charlotte,22 - Port Charlotte Middle Sch,U.S. Senate,"",REP,Marco Rubio,1322,647,324,351
Charlotte,23 - Mac V. Horton West County,U.S. Senate,"",REP,Marco Rubio,494,229,108,157
Charlotte,24 - Peace River Elementary Sc,U.S. Senate,"",REP,Marco Rubio,607,232,225,150
Charlotte,25 - Mid-County Regional Libra,U.S. Senate,"",REP,Marco Rubio,633,340,144,149
Charlotte,26 - Murdock Middle School,U.S. Senate,"",REP,Marco Rubio,375,151,130,94
Charlotte,27 - Mac V. Horton West County,U.S. Senate,"",REP,Marco Rubio,1311,676,269,366
Charlotte,28 - Charlotte Harbor Event an,U.S. Senate,"",REP,Marco Rubio,1197,564,223,410
Charlotte,29 - Punta Gorda Isles Civic A,U.S. Senate,"",REP,Marco Rubio,686,304,169,213
Charlotte,29.1 - Punta Gorda Isles Civic,U.S. Senate,"",REP,Marco Rubio,900,397,162,341
Charlotte,29.2 - Punta Gorda Isles Civic,U.S. Senate,"",REP,Marco Rubio,517,240,87,190
Charlotte,3 - Charlotte Harbor Event and,U.S. Senate,"",REP,Marco Rubio,13,,,
Charlotte,30 - Cleveland United Methodis,U.S. Senate,"",REP,Marco Rubio,468,142,222,104
Charlotte,3.1 - Charlotte Harbor Event a,U.S. Senate,"",REP,Marco Rubio,135,51,37,47
Charlotte,31 - Cleveland Baptist Church,U.S. Senate,"",REP,Marco Rubio,1291,,,
Charlotte,32 - Babcock Ranch,U.S. Senate,"",REP,Marco Rubio,1435,144,982,309
Charlotte,33 - Myakka River Elementary S,U.S. Senate,"",REP,Marco Rubio,838,355,270,213
Charlotte,34 - Isles Yacht Club,U.S. Senate,"",REP,Marco Rubio,945,369,243,333
Charlotte,35 - Punta Gorda Isles Civic A,U.S. Senate,"",REP,Marco Rubio,260,104,89,67
Charlotte,35.1 - Punta Gorda Isles Civic,U.S. Senate,"",REP,Marco Rubio,231,,,
Charlotte,36 - Peace River Elementary Sc,U.S. Senate,"",REP,Marco Rubio,795,350,263,182
Charlotte,38 - Port Charlotte Middle Sch,U.S. Senate,"",REP,Marco Rubio,751,378,193,180
Charlotte,39 - Mid-County Regional Libra,U.S. Senate,"",REP,Marco Rubio,824,,,
Charlotte,4 - Charlotte Harbor Event and,U.S. Senate,"",REP,Marco Rubio,210,96,59,55
Charlotte,41 - Isles Yacht Club,U.S. Senate,"",REP,Marco Rubio,1154,489,320,345
Charlotte,42 - South Punta Gorda Heights,U.S. Senate,"",REP,Marco Rubio,659,,,
Charlotte,42.1 - South Punta Gorda Heigh,U.S. Senate,"",REP,Marco Rubio,1039,428,223,388
Charlotte,43 - Meadow Park Elementary Sc,U.S. Senate,"",REP,Marco Rubio,942,,,
Charlotte,44 - Meadow Park Elementary Sc,U.S. Senate,"",REP,Marco Rubio,1877,839,475,563
Charlotte,45 - Tringali Park,U.S. Senate,"",REP,Marco Rubio,1222,,,
Charlotte,46 - Holy Trinity Greek Orthod,U.S. Senate,"",REP,Marco Rubio,1573,,,
Charlotte,47 - L.A. Ainger Middle School,U.S. Senate,"",REP,Marco Rubio,3373,1555,852,966
Charlotte,48 - Deep Creek Elementary Sch,U.S. Senate,"",REP,Marco Rubio,1010,334,332,344
Charlotte,49 - Deep Creek Elementary Sch,U.S. Senate,"",REP,Marco Rubio,682,231,245,206
Charlotte,5 - Peace River Elementary Sch,U.S. Senate,"",REP,Marco Rubio,784,288,188,308
Charlotte,52 - Murdock Middle School,U.S. Senate,"",REP,Marco Rubio,1341,529,472,340
Charlotte,53 - Tringali Park,U.S. Senate,"",REP,Marco Rubio,952,484,327,141
Charlotte,54 - Mid-County Regional Libra,U.S. Senate,"",REP,Marco Rubio,203,104,48,51
Charlotte,54.1 - Mid-County Regional Lib,U.S. Senate,"",REP,Marco Rubio,348,167,35,146
Charlotte,55 - American Legion Post #113,U.S. Senate,"",REP,Marco Rubio,1505,,,
Charlotte,56 - Harold Ave. Regional Park,U.S. Senate,"",REP,Marco Rubio,776,,,
Charlotte,57 - Port Charlotte Beach Park,U.S. Senate,"",REP,Marco Rubio,326,149,79,98
Charlotte,58 - Charlotte County Fairgrou,U.S. Senate,"",REP,Marco Rubio,1564,,,
Charlotte,6 - Charlotte County Fairgroun,U.S. Senate,"",REP,Marco Rubio,577,,,
Charlotte,60 - South County Regional Par,U.S. Senate,"",REP,Marco Rubio,106,,,
Charlotte,60.1 - South County Regional P,U.S. Senate,"",REP,Marco Rubio,166,,,
Charlotte,6.1 - Charlotte County Fairgro,U.S. Senate,"",REP,Marco Rubio,887,441,95,351
Charlotte,61 - Myakka River Elementary S,U.S. Senate,"",REP,Marco Rubio,778,,,
Charlotte,63 - Holy Trinity Greek Orthod,U.S. Senate,"",REP,Marco Rubio,2177,825,729,623
Charlotte,64 - Congregational United Chu,U.S. Senate,"",REP,Marco Rubio,184,66,54,64
Charlotte,64.1 - Congregational United C,U.S. Senate,"",REP,Marco Rubio,1913,812,385,716
Charlotte,66 - South County Regional Par,U.S. Senate,"",REP,Marco Rubio,665,300,172,193
Charlotte,66.1 - South County Regional P,U.S. Senate,"",REP,Marco Rubio,45,,,
Charlotte,67 - South Punta Gorda Heights,U.S. Senate,"",REP,Marco Rubio,139,43,39,57
Charlotte,68 - Burnt Store Presbyterian,U.S. Senate,"",REP,Marco Rubio,1040,,,
Charlotte,69 - Burnt Store Presbyterian,U.S. Senate,"",REP,Marco Rubio,335,128,136,71
Charlotte,7 - American Legion Post #113,U.S. Senate,"",REP,Marco Rubio,1601,695,491,415
Charlotte,75 - Port Charlotte Middle Sch,U.S. Senate,"",REP,Marco Rubio,1123,547,257,319
Charlotte,76 - Mid-County Regional Libra,U.S. Senate,"",REP,Marco Rubio,196,114,49,33
Charlotte,77 - L.A. Ainger Middle School,U.S. Senate,"",REP,Marco Rubio,3070,,,
Charlotte,78 - American Legion Post #113,U.S. Senate,"",REP,Marco Rubio,191,70,33,88
Charlotte,8 - Mac V. Horton West County,U.S. Senate,"",REP,Marco Rubio,496,238,153,105
Charlotte,80 - Tringali Park,U.S. Senate,"",REP,Marco Rubio,991,,,
Charlotte,9 - Port Charlotte Beach Park,U.S. Senate,"",REP,Marco Rubio,447,216,99,132
Charlotte,1 - Cleveland United Methodist,U.S. Senate,"",DEM,Val Demings,100,,,
Charlotte,10 - Port Charlotte Middle Sch,U.S. Senate,"",DEM,Val Demings,158,,,
Charlotte,11 - Myakka River Elementary S,U.S. Senate,"",DEM,Val Demings,329,84,47,198
Charlotte,12 - Deep Creek Elementary Sch,U.S. Senate,"",DEM,Val Demings,542,122,117,303
Charlotte,13 - East Elementary School,U.S. Senate,"",DEM,Val Demings,271,83,39,149
Charlotte,14 - Home Owners of Alligator,U.S. Senate,"",DEM,Val Demings,380,94,90,196
Charlotte,14.1 - Homeowners of Alligator,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Charlotte,15 - Meadow Park Elementary Sc,U.S. Senate,"",DEM,Val Demings,416,128,69,219
Charlotte,16 - Peace River Elementary Sc,U.S. Senate,"",DEM,Val Demings,186,61,30,95
Charlotte,17 - Port Charlotte Middle Sch,U.S. Senate,"",DEM,Val Demings,338,108,41,189
Charlotte,18 - Mac V. Horton West Count,U.S. Senate,"",DEM,Val Demings,337,112,39,186
Charlotte,19 - Charlotte Harbor Event an,U.S. Senate,"",DEM,Val Demings,24,,,
Charlotte,19.1 - Charlotte Harbor Event,U.S. Senate,"",DEM,Val Demings,190,,,
Charlotte,19.2 - Charlotte Harbor Event,U.S. Senate,"",DEM,Val Demings,9,,,
Charlotte,2 - East Elementary School,U.S. Senate,"",DEM,Val Demings,119,,,
Charlotte,20 - Port Charlotte Beach Park,U.S. Senate,"",DEM,Val Demings,319,119,54,146
Charlotte,21 - Meadow Park Elementary Sc,U.S. Senate,"",DEM,Val Demings,244,63,54,127
Charlotte,22 - Port Charlotte Middle Sch,U.S. Senate,"",DEM,Val Demings,745,254,114,377
