county,precinct,office,district,party,candidate,votes
Liberty,1,U.S. Senate,"",REP,Marco Rubio,53
Liberty,2,U.S. Senate,"",REP,Marco Rubio,81
Liberty,3,U.S. Senate,"",REP,Marco Rubio,534
Liberty,4,U.S. Senate,"",REP,Marco Rubio,604
Liberty,5,U.S. Senate,"",REP,Marco Rubio,340
Liberty,6,U.S. Senate,"",REP,Marco Rubio,333
Liberty,7,U.S. Senate,"",REP,Marco Rubio,97
Liberty,8,U.S. Senate,"",REP,Marco Rubio,122
Liberty,1,U.S. Senate,"",DEM,Val Demings,129
Liberty,2,U.S. Senate,"",DEM,Val Demings,38
Liberty,3,U.S. Senate,"",DEM,Val Demings,77
Liberty,4,U.S. Senate,"",DEM,Val Demings,37
Liberty,5,U.S. Senate,"",DEM,Val Demings,47
Liberty,6,U.S. Senate,"",DEM,Val Demings,49
Liberty,7,U.S. Senate,"",DEM,Val Demings,7
Liberty,8,U.S. Senate,"",DEM,Val Demings,21
Liberty,1,U.S. Senate,"",LPF,Dennis Misigoy,0
Liberty,2,U.S. Senate,"",LPF,Dennis Misigoy,0
Liberty,3,U.S. Senate,"",LPF,Dennis Misigoy,5
Liberty,4,U.S. Senate,"",LPF,Dennis Misigoy,0
Liberty,5,U.S. Senate,"",LPF,Dennis Misigoy,1
Liberty,6,U.S. Senate,"",LPF,Dennis Misigoy,2
Liberty,7,U.S. Senate,"",LPF,Dennis Misigoy,0
Liberty,8,U.S. Senate,"",LPF,Dennis Misigoy,3
Liberty,1,U.S. Senate,"",NPA,Steven B. Grant,2
Liberty,2,U.S. Senate,"",NPA,Steven B. Grant,0
Liberty,3,U.S. Senate,"",NPA,Steven B. Grant,5
Liberty,4,U.S. Senate,"",NPA,Steven B. Grant,2
Liberty,5,U.S. Senate,"",NPA,Steven B. Grant,5
Liberty,6,U.S. Senate,"",NPA,Steven B. Grant,3
Liberty,7,U.S. Senate,"",NPA,Steven B. Grant,1
Liberty,8,U.S. Senate,"",NPA,Steven B. Grant,1
Liberty,1,U.S. Senate,"",NPA,Tuan TQ Nguyen,0
Liberty,2,U.S. Senate,"",NPA,Tuan TQ Nguyen,0
Liberty,3,U.S. Senate,"",NPA,Tuan TQ Nguyen,2
Liberty,4,U.S. Senate,"",NPA,Tuan TQ Nguyen,1
Liberty,5,U.S. Senate,"",NPA,Tuan TQ Nguyen,0
Liberty,6,U.S. Senate,"",NPA,Tuan TQ Nguyen,0
Liberty,7,U.S. Senate,"",NPA,Tuan TQ Nguyen,0
Liberty,8,U.S. Senate,"",NPA,Tuan TQ Nguyen,0
Liberty,1,U.S. Senate,"","",WriteinVotes,0
Liberty,2,U.S. Senate,"","",WriteinVotes,0
Liberty,3,U.S. Senate,"","",WriteinVotes,0
Liberty,4,U.S. Senate,"","",WriteinVotes,0
Liberty,5,U.S. Senate,"","",WriteinVotes,0
Liberty,6,U.S. Senate,"","",WriteinVotes,0
Liberty,7,U.S. Senate,"","",WriteinVotes,0
Liberty,8,U.S. Senate,"","",WriteinVotes,0
Liberty,1,U.S. Senate,"","",OverVotes,0
Liberty,2,U.S. Senate,"","",OverVotes,0
Liberty,3,U.S. Senate,"","",OverVotes,1
Liberty,4,U.S. Senate,"","",OverVotes,0
Liberty,5,U.S. Senate,"","",OverVotes,0
Liberty,6,U.S. Senate,"","",OverVotes,0
Liberty,7,U.S. Senate,"","",OverVotes,0
Liberty,8,U.S. Senate,"","",OverVotes,0
Liberty,1,U.S. Senate,"","",UnderVotes,3
Liberty,2,U.S. Senate,"","",UnderVotes,0
Liberty,3,U.S. Senate,"","",UnderVotes,3
Liberty,4,U.S. Senate,"","",UnderVotes,0
Liberty,5,U.S. Senate,"","",UnderVotes,3
