county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Madison,1,U.S. Senate,"",REP,Marco Rubio,743,396,246,101
Madison,8,U.S. Senate,"",REP,Marco Rubio,555,288,227,40
Madison,9,U.S. Senate,"",REP,Marco Rubio,106,,,
Madison,10,U.S. Senate,"",REP,Marco Rubio,401,186,152,63
Madison,11,U.S. Senate,"",REP,Marco Rubio,219,,,
Madison,2,U.S. Senate,"",REP,Marco Rubio,47,,,
Madison,3,U.S. Senate,"",REP,Marco Rubio,1163,564,484,115
Madison,4,U.S. Senate,"",REP,Marco Rubio,204,,,
Madison,5,U.S. Senate,"",REP,Marco Rubio,263,85,141,37
Madison,6,U.S. Senate,"",REP,Marco Rubio,179,,,
Madison,7,U.S. Senate,"",REP,Marco Rubio,596,308,212,76
Madison,1,U.S. Senate,"",DEM,Val Demings,485,196,204,85
Madison,8,U.S. Senate,"",DEM,Val Demings,154,,,
Madison,9,U.S. Senate,"",DEM,Val Demings,58,,,
Madison,10,U.S. Senate,"",DEM,Val Demings,390,148,144,98
Madison,11,U.S. Senate,"",DEM,Val Demings,323,123,148,52
Madison,2,U.S. Senate,"",DEM,Val Demings,132,49,41,42
Madison,3,U.S. Senate,"",DEM,Val Demings,253,100,92,61
Madison,4,U.S. Senate,"",DEM,Val Demings,51,,,
Madison,5,U.S. Senate,"",DEM,Val Demings,357,88,207,62
Madison,6,U.S. Senate,"",DEM,Val Demings,39,,,
Madison,7,U.S. Senate,"",DEM,Val Demings,200,89,56,55
Madison,1,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Madison,8,U.S. Senate,"",LPF,Dennis Misigoy,4,,,
Madison,9,U.S. Senate,"",LPF,Dennis Misigoy,2,,,
Madison,10,U.S. Senate,"",LPF,Dennis Misigoy,2,,,
Madison,11,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Madison,2,U.S. Senate,"",LPF,Dennis Misigoy,2,,,
Madison,3,U.S. Senate,"",LPF,Dennis Misigoy,3,,,
Madison,4,U.S. Senate,"",LPF,Dennis Misigoy,0,0,0,0
Madison,5,U.S. Senate,"",LPF,Dennis Misigoy,1,,,
Madison,6,U.S. Senate,"",LPF,Dennis Misigoy,1,,,
Madison,7,U.S. Senate,"",LPF,Dennis Misigoy,2,,,
Madison,1,U.S. Senate,"",NPA,Steven B. Grant,5,,,
Madison,8,U.S. Senate,"",NPA,Steven B. Grant,2,,,
Madison,9,U.S. Senate,"",NPA,Steven B. Grant,3,,,
Madison,10,U.S. Senate,"",NPA,Steven B. Grant,2,,,
Madison,11,U.S. Senate,"",NPA,Steven B. Grant,3,,,
Madison,2,U.S. Senate,"",NPA,Steven B. Grant,1,,,
