county,precinct,office,district,party,candidate,votes
Washington,Caryville,U.S. Senate,"",REP,Marco Rubio,121
Washington,Five Points,U.S. Senate,"",REP,Marco Rubio,562
Washington,Hinson Crossroads,U.S. Senate,"",REP,Marco Rubio,329
Washington,First Baptist Church - Chipley,U.S. Senate,"",REP,Marco Rubio,1742
Washington,Vernon City Hall,U.S. Senate,"",REP,Marco Rubio,738
Washington,New Hope - Campbells Park,U.S. Senate,"",REP,Marco Rubio,210
Washington,Orange Hill Fire Station,U.S. Senate,"",REP,Marco Rubio,833
Washington,Armory - Chipley,U.S. Senate,"",REP,Marco Rubio,664
Washington,Wausau,U.S. Senate,"",REP,Marco Rubio,521
Washington,Ebro Town Hall,U.S. Senate,"",REP,Marco Rubio,129
Washington,Greenhead,U.S. Senate,"",REP,Marco Rubio,1216
Washington,Sunny Hills,U.S. Senate,"",REP,Marco Rubio,576
Washington,Caryville,U.S. Senate,"",DEM,Val Demings,69
Washington,Five Points,U.S. Senate,"",DEM,Val Demings,36
Washington,Hinson Crossroads,U.S. Senate,"",DEM,Val Demings,31
Washington,First Baptist Church - Chipley,U.S. Senate,"",DEM,Val Demings,263
Washington,Vernon City Hall,U.S. Senate,"",DEM,Val Demings,118
Washington,New Hope - Campbells Park,U.S. Senate,"",DEM,Val Demings,159
Washington,Orange Hill Fire Station,U.S. Senate,"",DEM,Val Demings,119
Washington,Armory - Chipley,U.S. Senate,"",DEM,Val Demings,172
Washington,Wausau,U.S. Senate,"",DEM,Val Demings,70
Washington,Ebro Town Hall,U.S. Senate,"",DEM,Val Demings,75
Washington,Greenhead,U.S. Senate,"",DEM,Val Demings,120
Washington,Sunny Hills,U.S. Senate,"",DEM,Val Demings,113
Washington,Caryville,U.S. Senate,"",LPF,Dennis Misigoy,6
Washington,Five Points,U.S. Senate,"",LPF,Dennis Misigoy,1
Washington,Hinson Crossroads,U.S. Senate,"",LPF,Dennis Misigoy,0
Washington,First Baptist Church - Chipley,U.S. Senate,"",LPF,Dennis Misigoy,8
Washington,Vernon City Hall,U.S. Senate,"",LPF,Dennis Misigoy,2
Washington,New Hope - Campbells Park,U.S. Senate,"",LPF,Dennis Misigoy,0
Washington,Orange Hill Fire Station,U.S. Senate,"",LPF,Dennis Misigoy,6
Washington,Armory - Chipley,U.S. Senate,"",LPF,Dennis Misigoy,2
Washington,Wausau,U.S. Senate,"",LPF,Dennis Misigoy,1
Washington,Ebro Town Hall,U.S. Senate,"",LPF,Dennis Misigoy,5
Washington,Greenhead,U.S. Senate,"",LPF,Dennis Misigoy,3
Washington,Sunny Hills,U.S. Senate,"",LPF,Dennis Misigoy,8
Washington,Caryville,U.S. Senate,"",NPA,Steven B. Grant,5
Washington,Five Points,U.S. Senate,"",NPA,Steven B. Grant,3
Washington,Hinson Crossroads,U.S. Senate,"",NPA,Steven B. Grant,1
Washington,First Baptist Church - Chipley,U.S. Senate,"",NPA,Steven B. Grant,9
Washington,Vernon City Hall,U.S. Senate,"",NPA,Steven B. Grant,6
Washington,New Hope - Campbells Park,U.S. Senate,"",NPA,Steven B. Grant,2
Washington,Orange Hill Fire Station,U.S. Senate,"",NPA,Steven B. Grant,4
Washington,Armory - Chipley,U.S. Senate,"",NPA,Steven B. Grant,3
Washington,Wausau,U.S. Senate,"",NPA,Steven B. Grant,3
Washington,Ebro Town Hall,U.S. Senate,"",NPA,Steven B. Grant,0
Washington,Greenhead,U.S. Senate,"",NPA,Steven B. Grant,11
Washington,Sunny Hills,U.S. Senate,"",NPA,Steven B. Grant,3
Washington,Caryville,U.S. Senate,"",NPA,Tuan TQ Nguyen,0
Washington,Five Points,U.S. Senate,"",NPA,Tuan TQ Nguyen,1
Washington,Hinson Crossroads,U.S. Senate,"",NPA,Tuan TQ Nguyen,0
Washington,First Baptist Church - Chipley,U.S. Senate,"",NPA,Tuan TQ Nguyen,4
Washington,Vernon City Hall,U.S. Senate,"",NPA,Tuan TQ Nguyen,4
